
## PHerc Paris 4 hires-256 (ink/fiber-rich)  (256x256x256, 16.8 MB, atom=16^3, hf_slope=0.50)

### target 8x
config              | ratio  |  PSNR | MS-SSIM |   GMSD  | HaarPSI | edgeMAE |  seam16 | dcKB | enc MB/s
aniso Yonly-coarse 1/2/1|  8.00x | 36.83 |  0.9825 | 0.06068 |  0.9772 |   8.630 |   4.460 |    8 |      48
iso HF + Zpred DC   |  7.99x | 36.84 |  0.9825 | 0.06060 |  0.9772 |   8.620 |   4.457 |    4 |      43

### target 16x
config              | ratio  |  PSNR | MS-SSIM |   GMSD  | HaarPSI | edgeMAE |  seam16 | dcKB | enc MB/s
--------------------+--------+-------+---------+---------+---------+---------+---------+------+---------
iso HF (baseline)   | 16.00x | 32.28 |  0.9528 | 0.10634 |  0.9539 |  15.120 |   7.753 |    8 |      51
aniso Zprot .5/1/1  | 15.86x | 32.35 |  0.9535 | 0.10553 |  0.9543 |  14.993 |   7.688 |    8 |      51
aniso Zprot .3/1/1  | 15.87x | 32.35 |  0.9536 | 0.10547 |  0.9544 |  14.984 |   7.685 |    8 |      51
aniso Zprot .5/1.3/1.3| 15.86x | 32.35 |  0.9536 | 0.10548 |  0.9544 |  14.988 |   7.689 |    8 |      51
aniso Zprot .3/1.5/1.5| 15.88x | 32.35 |  0.9536 | 0.10546 |  0.9544 |  14.982 |   7.687 |    8 |      47
aniso Zcoarse 2/1/1 | 16.08x | 32.20 |  0.9520 | 0.10715 |  0.9534 |  15.257 |   7.836 |    8 |      51
aniso Yonly-coarse 1/2/1| 15.86x | 32.34 |  0.9535 | 0.10566 |  0.9543 |  15.015 |   7.695 |    8 |      51
iso HF + Zpred DC   | 15.88x | 32.35 |  0.9535 | 0.10554 |  0.9543 |  14.992 |   7.688 |    4 |      52

### target 32x
config              | ratio  |  PSNR | MS-SSIM |   GMSD  | HaarPSI | edgeMAE |  seam16 | dcKB | enc MB/s
--------------------+--------+-------+---------+---------+---------+---------+---------+------+---------
iso HF (baseline)   | 32.10x | 28.47 |  0.8932 | 0.14774 |  0.9248 |  22.933 |  12.125 |    8 |      54
aniso Zprot .5/1/1  | 32.22x | 28.47 |  0.8932 | 0.14775 |  0.9248 |  22.926 |  12.118 |    8 |      53
aniso Zprot .3/1/1  | 32.25x | 28.47 |  0.8932 | 0.14771 |  0.9249 |  22.917 |  12.110 |    8 |      54
aniso Zprot .5/1.3/1.3| 32.24x | 28.47 |  0.8932 | 0.14775 |  0.9248 |  22.926 |  12.117 |    8 |      55
aniso Zprot .3/1.5/1.5| 32.25x | 28.47 |  0.8933 | 0.14769 |  0.9249 |  22.919 |  12.116 |    8 |      55
aniso Zcoarse 2/1/1 | 32.03x | 28.47 |  0.8930 | 0.14781 |  0.9248 |  22.929 |  12.117 |    8 |      53
aniso Yonly-coarse 1/2/1| 32.26x | 28.46 |  0.8930 | 0.14784 |  0.9248 |  22.952 |  12.114 |    8 |      53
iso HF + Zpred DC   | 31.92x | 28.54 |  0.8946 | 0.14703 |  0.9254 |  22.765 |  12.021 |    4 |      54

### target 64x
config              | ratio  |  PSNR | MS-SSIM |   GMSD  | HaarPSI | edgeMAE |  seam16 | dcKB | enc MB/s
--------------------+--------+-------+---------+---------+---------+---------+---------+------+---------
iso HF (baseline)   | 64.21x | 25.43 |  0.7961 | 0.18004 |  0.8945 |  30.664 |  16.785 |    8 |      55
aniso Zprot .5/1/1  | 64.30x | 25.43 |  0.7962 | 0.17999 |  0.8945 |  30.660 |  16.773 |    8 |      50
aniso Zprot .3/1/1  | 64.40x | 25.43 |  0.7962 | 0.18000 |  0.8945 |  30.656 |  16.760 |    8 |      52
aniso Zprot .5/1.3/1.3| 64.36x | 25.43 |  0.7962 | 0.18000 |  0.8945 |  30.663 |  16.774 |    8 |      55
aniso Zprot .3/1.5/1.5| 64.41x | 25.43 |  0.7963 | 0.17998 |  0.8945 |  30.656 |  16.769 |    8 |      55
aniso Zcoarse 2/1/1 | 64.00x | 25.43 |  0.7959 | 0.18009 |  0.8944 |  30.662 |  16.785 |    8 |      54
aniso Yonly-coarse 1/2/1| 64.43x | 25.42 |  0.7959 | 0.18014 |  0.8944 |  30.692 |  16.772 |    8 |      52
iso HF + Zpred DC   | 64.22x | 25.49 |  0.7985 | 0.17945 |  0.8951 |  30.500 |  16.682 |    4 |      50
