
## PHerc Paris 4 hires-256 (ink/fiber-rich)  (256x256x256, 16.8 MB, atom=16^3, HF slope 0.50)

### target 16x  (q-knob proxy ~16)
  dz  |  ro   | ratio  |  PSNR | dPSNR | MS-SSIM |   GMSD  | HaarPSI | edgeMAE |  seam16
 0.45 | 0.400 | 32.15x | 38.26 | +0.00 |  0.9619 | 0.09280 |  0.9598 |   7.379 |   3.850
 0.45 | 0.450 | 32.15x | 38.16 | +0.00 |  0.9610 | 0.09419 |  0.9590 |   7.467 |   3.968
 0.45 | 0.500 | 32.15x | 37.94 | +0.00 |  0.9596 | 0.09640 |  0.9577 |   7.666 |   4.121
 0.50 | 0.300 | 32.03x | 38.42 | +0.00 |  0.9634 | 0.09007 |  0.9617 |   7.324 |   3.553
 0.50 | 0.375 | 32.03x | 38.50 | +0.00 |  0.9636 | 0.09051 |  0.9613 |   7.230 |   3.658
 0.50 | 0.400 | 32.03x | 38.50 | +0.00 |  0.9635 | 0.09084 |  0.9611 |   7.232 |   3.699
 0.50 | 0.450 | 32.03x | 38.40 | +0.00 |  0.9628 | 0.09211 |  0.9604 |   7.303 |   3.812
 0.50 | 0.500 | 32.03x | 38.25 | +0.00 |  0.9618 | 0.09363 |  0.9595 |   7.431 |   3.934  <-baseline
 0.55 | 0.300 | 31.93x | 38.57 | +0.33 |  0.9643 | 0.08913 |  0.9625 |   7.243 |   3.467
 0.55 | 0.375 | 31.93x | 38.67 | +0.42 |  0.9646 | 0.08925 |  0.9623 |   7.141 |   3.552
 0.55 | 0.400 | 31.93x | 38.66 | +0.41 |  0.9645 | 0.08957 |  0.9621 |   7.138 |   3.594
 0.55 | 0.450 | 31.93x | 38.59 | +0.35 |  0.9640 | 0.09053 |  0.9615 |   7.181 |   3.688
 0.55 | 0.500 | 31.93x | 38.47 | +0.23 |  0.9633 | 0.09172 |  0.9607 |   7.273 |   3.794
 0.60 | 0.300 | 31.94x | 38.66 | +0.41 |  0.9648 | 0.08867 |  0.9630 |   7.201 |   3.414
 0.60 | 0.375 | 31.94x | 38.75 | +0.50 |  0.9651 | 0.08878 |  0.9628 |   7.099 |   3.498
 0.60 | 0.400 | 31.94x | 38.75 | +0.51 |  0.9651 | 0.08893 |  0.9626 |   7.088 |   3.529
 0.60 | 0.450 | 31.94x | 38.71 | +0.46 |  0.9648 | 0.08962 |  0.9621 |   7.110 |   3.611
 0.60 | 0.500 | 31.94x | 38.61 | +0.36 |  0.9641 | 0.09067 |  0.9615 |   7.185 |   3.706
 0.65 | 0.300 | 31.95x | 38.73 | +0.49 |  0.9652 | 0.08846 |  0.9633 |   7.169 |   3.369
 0.65 | 0.375 | 31.95x | 38.82 | +0.58 |  0.9655 | 0.08837 |  0.9632 |   7.069 |   3.440
 0.65 | 0.400 | 31.95x | 38.83 | +0.59 |  0.9656 | 0.08842 |  0.9631 |   7.050 |   3.470
 0.65 | 0.450 | 31.95x | 38.80 | +0.55 |  0.9653 | 0.08895 |  0.9627 |   7.060 |   3.540
 0.65 | 0.500 | 31.95x | 38.71 | +0.46 |  0.9648 | 0.08992 |  0.9620 |   7.123 |   3.635
 0.70 | 0.300 | 31.94x | 38.79 | +0.54 |  0.9655 | 0.08825 |  0.9636 |   7.152 |   3.323
 0.70 | 0.375 | 31.94x | 38.88 | +0.63 |  0.9659 | 0.08808 |  0.9634 |   7.048 |   3.392
 0.70 | 0.400 | 31.94x | 38.88 | +0.64 |  0.9659 | 0.08818 |  0.9633 |   7.033 |   3.422
 0.70 | 0.450 | 31.94x | 38.86 | +0.62 |  0.9657 | 0.08857 |  0.9630 |   7.032 |   3.485
 0.70 | 0.500 | 31.94x | 38.80 | +0.55 |  0.9653 | 0.08920 |  0.9626 |   7.068 |   3.557
 0.80 | 0.300 | 32.02x | 38.82 | +0.58 |  0.9656 | 0.08833 |  0.9637 |   7.149 |   3.285
 0.80 | 0.375 | 32.02x | 38.91 | +0.67 |  0.9660 | 0.08799 |  0.9636 |   7.046 |   3.344
 0.80 | 0.400 | 32.02x | 38.92 | +0.68 |  0.9661 | 0.08803 |  0.9636 |   7.032 |   3.362
 0.80 | 0.450 | 32.02x | 38.91 | +0.67 |  0.9660 | 0.08827 |  0.9633 |   7.020 |   3.420
 0.80 | 0.500 | 32.02x | 38.87 | +0.63 |  0.9658 | 0.08869 |  0.9630 |   7.037 |   3.481

### target 64x  (q-knob proxy ~64)
  dz  |  ro   | ratio  |  PSNR | dPSNR | MS-SSIM |   GMSD  | HaarPSI | edgeMAE |  seam16
------+-------+--------+-------+-------+---------+---------+---------+---------+--------
 0.40 | 0.300 | 64.24x | 34.25 | +0.00 |  0.9179 | 0.13119 |  0.9336 |  10.899 |   5.851
 0.40 | 0.375 | 64.24x | 34.23 | +0.00 |  0.9170 | 0.13246 |  0.9326 |  10.915 |   6.142
 0.40 | 0.400 | 64.24x | 34.18 | +0.00 |  0.9163 | 0.13315 |  0.9321 |  10.977 |   6.253
 0.40 | 0.450 | 64.24x | 33.99 | +0.00 |  0.9138 | 0.13533 |  0.9307 |  11.222 |   6.515
 0.40 | 0.500 | 64.24x | 33.73 | +0.00 |  0.9106 | 0.13787 |  0.9290 |  11.569 |   6.802
