
## PHerc Paris 4 hires-256 (ink/fiber-rich)  (256x256x256, 16.8 MB, atom=16^3, HF slope 0.50)

### target 16x  (q-knob proxy ~16)
  dz  |  ro   | ratio  |  PSNR | dPSNR | MS-SSIM |   GMSD  | HaarPSI | edgeMAE |  seam16
 0.40 | 0.400 | 31.84x | 28.30 | +0.00 |  0.8877 | 0.14943 |  0.9225 |  23.115 |  12.197
 0.40 | 0.450 | 31.84x | 28.10 | +0.00 |  0.8861 | 0.15070 |  0.9216 |  23.672 |  12.802
 0.40 | 0.500 | 31.84x | 27.83 | +0.00 |  0.8832 | 0.15249 |  0.9204 |  24.562 |  13.434
 0.45 | 0.300 | 31.97x | 28.62 | +0.00 |  0.8891 | 0.14774 |  0.9248 |  22.913 |  10.682
 0.45 | 0.375 | 31.97x | 28.62 | +0.00 |  0.8918 | 0.14732 |  0.9249 |  22.579 |  11.360
 0.45 | 0.400 | 31.97x | 28.57 | +0.00 |  0.8919 | 0.14755 |  0.9246 |  22.632 |  11.617
 0.45 | 0.450 | 31.97x | 28.42 | +0.00 |  0.8912 | 0.14832 |  0.9240 |  22.944 |  12.130
 0.45 | 0.500 | 31.97x | 28.20 | +0.00 |  0.8892 | 0.14968 |  0.9230 |  23.573 |  12.694
 0.50 | 0.300 | 32.10x | 28.77 | +0.00 |  0.8914 | 0.14692 |  0.9260 |  22.766 |  10.361
 0.50 | 0.375 | 32.10x | 28.79 | +0.00 |  0.8944 | 0.14620 |  0.9262 |  22.347 |  10.943
 0.50 | 0.400 | 32.10x | 28.75 | +0.00 |  0.8945 | 0.14634 |  0.9260 |  22.348 |  11.186
 0.50 | 0.450 | 32.10x | 28.64 | +0.00 |  0.8944 | 0.14680 |  0.9256 |  22.513 |  11.636
 0.50 | 0.500 | 32.10x | 28.47 | +0.00 |  0.8932 | 0.14774 |  0.9248 |  22.933 |  12.125  <-baseline
 0.55 | 0.300 | 31.95x | 28.91 | +0.44 |  0.8938 | 0.14601 |  0.9272 |  22.579 |  10.086
 0.55 | 0.375 | 31.95x | 28.95 | +0.49 |  0.8968 | 0.14509 |  0.9275 |  22.126 |  10.575
 0.55 | 0.400 | 31.95x | 28.93 | +0.46 |  0.8973 | 0.14505 |  0.9274 |  22.072 |  10.802
 0.55 | 0.450 | 31.95x | 28.85 | +0.38 |  0.8975 | 0.14530 |  0.9271 |  22.138 |  11.191
 0.55 | 0.500 | 31.95x | 28.71 | +0.24 |  0.8968 | 0.14592 |  0.9266 |  22.403 |  11.619
 0.60 | 0.300 | 31.99x | 29.00 | +0.53 |  0.8952 | 0.14550 |  0.9280 |  22.504 |   9.866
 0.60 | 0.375 | 31.99x | 29.05 | +0.58 |  0.8982 | 0.14452 |  0.9284 |  22.021 |  10.328
 0.60 | 0.400 | 31.99x | 29.04 | +0.57 |  0.8988 | 0.14441 |  0.9283 |  21.948 |  10.494
 0.60 | 0.450 | 31.99x | 28.98 | +0.51 |  0.8993 | 0.14444 |  0.9281 |  21.932 |  10.873
 0.60 | 0.500 | 31.99x | 28.86 | +0.40 |  0.8989 | 0.14490 |  0.9277 |  22.107 |  11.265
 0.65 | 0.300 | 31.96x | 29.07 | +0.60 |  0.8961 | 0.14517 |  0.9285 |  22.441 |   9.708
 0.65 | 0.375 | 31.96x | 29.12 | +0.65 |  0.8991 | 0.14415 |  0.9289 |  21.953 |  10.146
 0.65 | 0.400 | 31.96x | 29.12 | +0.66 |  0.8998 | 0.14393 |  0.9290 |  21.868 |  10.263
 0.65 | 0.450 | 31.96x | 29.08 | +0.61 |  0.9005 | 0.14386 |  0.9288 |  21.801 |  10.603
 0.65 | 0.500 | 31.96x | 28.98 | +0.52 |  0.9004 | 0.14415 |  0.9285 |  21.901 |  10.969
 0.70 | 0.300 | 32.00x | 29.11 | +0.64 |  0.8967 | 0.14503 |  0.9289 |  22.435 |   9.591
 0.70 | 0.375 | 32.00x | 29.17 | +0.71 |  0.8996 | 0.14393 |  0.9293 |  21.950 |   9.971
 0.70 | 0.400 | 32.00x | 29.17 | +0.70 |  0.9003 | 0.14373 |  0.9293 |  21.846 |  10.126
 0.70 | 0.450 | 32.00x | 29.14 | +0.67 |  0.9011 | 0.14356 |  0.9292 |  21.750 |  10.444
 0.70 | 0.500 | 32.00x | 29.07 | +0.60 |  0.9012 | 0.14370 |  0.9290 |  21.790 |  10.749
 0.80 | 0.300 | 31.96x | 29.18 | +0.71 |  0.8976 | 0.14492 |  0.9294 |  22.375 |   9.420
 0.80 | 0.375 | 31.96x | 29.24 | +0.77 |  0.9004 | 0.14381 |  0.9298 |  21.912 |   9.765
 0.80 | 0.400 | 31.96x | 29.24 | +0.77 |  0.9009 | 0.14365 |  0.9298 |  21.818 |   9.895
 0.80 | 0.450 | 31.96x | 29.22 | +0.75 |  0.9019 | 0.14335 |  0.9298 |  21.686 |  10.161
 0.80 | 0.500 | 31.96x | 29.17 | +0.71 |  0.9022 | 0.14331 |  0.9297 |  21.665 |  10.427

### target 64x  (q-knob proxy ~64)
  dz  |  ro   | ratio  |  PSNR | dPSNR | MS-SSIM |   GMSD  | HaarPSI | edgeMAE |  seam16
------+-------+--------+-------+-------+---------+---------+---------+---------+--------
 0.40 | 0.300 | 63.85x | 25.52 | +0.00 |  0.7857 | 0.18262 |  0.8915 |  30.740 |  15.113
 0.40 | 0.375 | 63.85x | 25.39 | +0.00 |  0.7894 | 0.18123 |  0.8924 |  30.674 |  16.392
 0.40 | 0.400 | 63.85x | 25.31 | +0.00 |  0.7895 | 0.18118 |  0.8924 |  30.842 |  16.832
 0.40 | 0.450 | 63.85x | 25.10 | +0.00 |  0.7883 | 0.18163 |  0.8919 |  31.454 |  17.741
 0.40 | 0.500 | 63.85x | 24.83 | +0.00 |  0.7855 | 0.18265 |  0.8911 |  32.376 |  18.656
 0.45 | 0.300 | 63.99x | 25.68 | +0.00 |  0.7884 | 0.18264 |  0.8925 |  30.643 |  14.542
 0.45 | 0.375 | 63.99x | 25.61 | +0.00 |  0.7931 | 0.18079 |  0.8937 |  30.332 |  15.619
 0.45 | 0.400 | 63.99x | 25.55 | +0.00 |  0.7937 | 0.18050 |  0.8938 |  30.379 |  16.006
 0.45 | 0.450 | 63.99x | 25.39 | +0.00 |  0.7936 | 0.18044 |  0.8937 |  30.706 |  16.797
 0.45 | 0.500 | 63.99x | 25.18 | +0.00 |  0.7921 | 0.18095 |  0.8932 |  31.319 |  17.611
 0.50 | 0.300 | 64.21x | 25.79 | +0.00 |  0.7899 | 0.18298 |  0.8931 |  30.650 |  14.065
 0.50 | 0.375 | 64.21x | 25.75 | +0.00 |  0.7951 | 0.18079 |  0.8944 |  30.185 |  15.044
 0.50 | 0.400 | 64.21x | 25.72 | +0.00 |  0.7959 | 0.18042 |  0.8946 |  30.159 |  15.342
 0.50 | 0.450 | 64.21x | 25.60 | +0.00 |  0.7967 | 0.17997 |  0.8947 |  30.291 |  16.059
 0.50 | 0.500 | 64.21x | 25.43 | +0.00 |  0.7961 | 0.18004 |  0.8945 |  30.664 |  16.785  <-baseline
 0.55 | 0.300 | 64.13x | 25.89 | +0.46 |  0.7915 | 0.18320 |  0.8937 |  30.617 |  13.715
 0.55 | 0.375 | 64.13x | 25.88 | +0.45 |  0.7970 | 0.18087 |  0.8951 |  30.078 |  14.573
 0.55 | 0.400 | 64.13x | 25.85 | +0.43 |  0.7980 | 0.18039 |  0.8953 |  30.008 |  14.853
 0.55 | 0.450 | 64.13x | 25.76 | +0.33 |  0.7992 | 0.17970 |  0.8956 |  30.019 |  15.501
 0.55 | 0.500 | 64.13x | 25.63 | +0.20 |  0.7993 | 0.17948 |  0.8956 |  30.225 |  16.127
 0.60 | 0.300 | 63.90x | 25.98 | +0.55 |  0.7935 | 0.18322 |  0.8943 |  30.561 |  13.419
 0.60 | 0.375 | 63.90x | 25.98 | +0.55 |  0.7989 | 0.18088 |  0.8958 |  29.992 |  14.187
 0.60 | 0.400 | 63.90x | 25.96 | +0.53 |  0.8001 | 0.18028 |  0.8961 |  29.885 |  14.462
 0.60 | 0.450 | 63.90x | 25.89 | +0.46 |  0.8017 | 0.17947 |  0.8964 |  29.816 |  15.030
 0.60 | 0.500 | 63.90x | 25.78 | +0.36 |  0.8022 | 0.17904 |  0.8965 |  29.914 |  15.593
 0.65 | 0.300 | 64.18x | 26.02 | +0.59 |  0.7936 | 0.18370 |  0.8944 |  30.624 |  13.229
 0.65 | 0.375 | 64.18x | 26.03 | +0.60 |  0.7989 | 0.18135 |  0.8959 |  30.041 |  13.926
 0.65 | 0.400 | 64.18x | 26.02 | +0.59 |  0.8002 | 0.18074 |  0.8962 |  29.920 |  14.172
 0.65 | 0.450 | 64.18x | 25.96 | +0.53 |  0.8019 | 0.17981 |  0.8966 |  29.791 |  14.688
 0.65 | 0.500 | 64.18x | 25.87 | +0.45 |  0.8028 | 0.17922 |  0.8968 |  29.811 |  15.214
 0.70 | 0.300 | 63.94x | 26.07 | +0.65 |  0.7948 | 0.18376 |  0.8948 |  30.596 |  13.061
 0.70 | 0.375 | 63.94x | 26.09 | +0.67 |  0.8000 | 0.18143 |  0.8962 |  30.011 |  13.708
 0.70 | 0.400 | 63.94x | 26.08 | +0.66 |  0.8013 | 0.18083 |  0.8966 |  29.884 |  13.923
 0.70 | 0.450 | 63.94x | 26.04 | +0.62 |  0.8032 | 0.17984 |  0.8971 |  29.716 |  14.390
 0.70 | 0.500 | 63.94x | 25.97 | +0.54 |  0.8043 | 0.17914 |  0.8973 |  29.677 |  14.875
 0.80 | 0.300 | 64.03x | 26.12 | +0.69 |  0.7949 | 0.18440 |  0.8949 |  30.681 |  12.829
 0.80 | 0.375 | 64.03x | 26.15 | +0.72 |  0.7999 | 0.18215 |  0.8963 |  30.108 |  13.382
 0.80 | 0.400 | 64.03x | 26.15 | +0.72 |  0.8012 | 0.18153 |  0.8966 |  29.966 |  13.574
 0.80 | 0.450 | 64.03x | 26.12 | +0.70 |  0.8032 | 0.18044 |  0.8972 |  29.751 |  13.973
 0.80 | 0.500 | 64.03x | 26.07 | +0.65 |  0.8047 | 0.17962 |  0.8976 |  29.639 |  14.390

### target 128x  (q-knob proxy ~128)
  dz  |  ro   | ratio  |  PSNR | dPSNR | MS-SSIM |   GMSD  | HaarPSI | edgeMAE |  seam16
------+-------+--------+-------+-------+---------+---------+---------+---------+--------
 0.40 | 0.300 | 110.49x | 23.61 | +0.00 |  0.6768 | 0.20788 |  0.8641 |  36.707 |  18.083
 0.40 | 0.375 | 110.49x | 23.44 | +0.00 |  0.6820 | 0.20477 |  0.8667 |  36.565 |  19.700
 0.40 | 0.400 | 110.49x | 23.36 | +0.00 |  0.6826 | 0.20414 |  0.8671 |  36.686 |  20.260
 0.40 | 0.450 | 110.49x | 23.16 | +0.00 |  0.6826 | 0.20338 |  0.8676 |  37.150 |  21.379
 0.40 | 0.500 | 110.49x | 22.91 | +0.00 |  0.6809 | 0.20328 |  0.8675 |  37.912 |  22.526
 0.45 | 0.300 | 126.32x | 23.29 | +0.00 |  0.6453 | 0.21649 |  0.8556 |  38.314 |  18.014
 0.45 | 0.375 | 126.32x | 23.18 | +0.00 |  0.6519 | 0.21258 |  0.8591 |  37.886 |  19.491
 0.45 | 0.400 | 126.32x | 23.12 | +0.00 |  0.6531 | 0.21163 |  0.8599 |  37.874 |  19.989
 0.45 | 0.450 | 126.32x | 22.97 | +0.00 |  0.6546 | 0.21008 |  0.8611 |  38.028 |  21.019
 0.45 | 0.500 | 126.32x | 22.78 | +0.00 |  0.6545 | 0.20914 |  0.8617 |  38.421 |  22.060
 0.50 | 0.300 | 127.79x | 23.36 | +0.00 |  0.6423 | 0.21890 |  0.8539 |  38.605 |  17.452
 0.50 | 0.375 | 127.79x | 23.28 | +0.00 |  0.6496 | 0.21484 |  0.8577 |  38.021 |  18.757
 0.50 | 0.400 | 127.79x | 23.24 | +0.00 |  0.6512 | 0.21375 |  0.8586 |  37.932 |  19.197
 0.50 | 0.450 | 127.79x | 23.13 | +0.00 |  0.6534 | 0.21198 |  0.8601 |  37.904 |  20.095
 0.50 | 0.500 | 127.79x | 22.98 | +0.00 |  0.6544 | 0.21057 |  0.8611 |  38.071 |  21.044  <-baseline
 0.55 | 0.300 | 127.61x | 23.42 | +0.44 |  0.6425 | 0.21989 |  0.8534 |  38.701 |  17.071
 0.55 | 0.375 | 127.61x | 23.37 | +0.40 |  0.6498 | 0.21594 |  0.8571 |  38.059 |  18.226
 0.55 | 0.400 | 127.61x | 23.34 | +0.37 |  0.6516 | 0.21484 |  0.8581 |  37.931 |  18.622
 0.55 | 0.450 | 127.61x | 23.25 | +0.28 |  0.6543 | 0.21288 |  0.8597 |  37.797 |  19.443
 0.55 | 0.500 | 127.61x | 23.13 | +0.16 |  0.6559 | 0.21136 |  0.8609 |  37.834 |  20.272
 0.60 | 0.300 | 128.14x | 23.46 | +0.48 |  0.6410 | 0.22143 |  0.8524 |  38.903 |  16.684
 0.60 | 0.375 | 128.14x | 23.43 | +0.46 |  0.6485 | 0.21756 |  0.8562 |  38.206 |  17.738
 0.60 | 0.400 | 128.14x | 23.41 | +0.44 |  0.6504 | 0.21643 |  0.8572 |  38.048 |  18.096
 0.60 | 0.450 | 128.14x | 23.34 | +0.37 |  0.6535 | 0.21442 |  0.8589 |  37.838 |  18.830
 0.60 | 0.500 | 128.14x | 23.25 | +0.27 |  0.6555 | 0.21275 |  0.8603 |  37.767 |  19.581
 0.65 | 0.300 | 127.85x | 23.51 | +0.53 |  0.6418 | 0.22219 |  0.8522 |  38.970 |  16.431
 0.65 | 0.375 | 127.85x | 23.49 | +0.52 |  0.6493 | 0.21834 |  0.8560 |  38.257 |  17.404
 0.65 | 0.400 | 127.85x | 23.48 | +0.50 |  0.6512 | 0.21723 |  0.8570 |  38.086 |  17.729
 0.65 | 0.450 | 127.85x | 23.42 | +0.45 |  0.6544 | 0.21520 |  0.8587 |  37.835 |  18.401
 0.65 | 0.500 | 127.85x | 23.35 | +0.37 |  0.6567 | 0.21353 |  0.8601 |  37.710 |  19.078
 0.70 | 0.300 | 127.96x | 23.54 | +0.56 |  0.6414 | 0.22304 |  0.8517 |  39.057 |  16.239
 0.70 | 0.375 | 127.96x | 23.53 | +0.56 |  0.6487 | 0.21937 |  0.8554 |  38.351 |  17.123
 0.70 | 0.400 | 127.96x | 23.52 | +0.54 |  0.6505 | 0.21834 |  0.8564 |  38.179 |  17.413
 0.70 | 0.450 | 127.96x | 23.48 | +0.50 |  0.6539 | 0.21631 |  0.8582 |  37.893 |  18.034
 0.70 | 0.500 | 127.96x | 23.41 | +0.44 |  0.6564 | 0.21456 |  0.8596 |  37.721 |  18.666
 0.80 | 0.300 | 127.89x | 23.59 | +0.61 |  0.6413 | 0.22425 |  0.8511 |  39.216 |  15.925
 0.80 | 0.375 | 127.89x | 23.59 | +0.62 |  0.6482 | 0.22086 |  0.8545 |  38.537 |  16.679
 0.80 | 0.400 | 127.89x | 23.59 | +0.61 |  0.6500 | 0.21990 |  0.8555 |  38.362 |  16.924
 0.80 | 0.450 | 127.89x | 23.56 | +0.58 |  0.6534 | 0.21792 |  0.8573 |  38.041 |  17.466
 0.80 | 0.500 | 127.89x | 23.52 | +0.54 |  0.6561 | 0.21624 |  0.8587 |  37.816 |  18.004
